,Disease,DiseaseFull,Group,Year,Month,Date,Cases,Population,Incidence
1,Anthrax,Anthrax,national_total,2026,1,2026-01-01,0,,
2,Australian bat lyssavirus infection,Australian bat lyssavirus infection,national_total,2026,1,2026-01-01,0,,
3,Avian influenza in humans (AIH),Avian influenza in humans (AIH),national_total,2026,1,2026-01-01,0,,
4,Barmah Forest virus infection,Barmah Forest virus infection,national_total,2026,1,2026-01-01,15,,
5,Botulism,Botulism,national_total,2026,1,2026-01-01,0,,
6,Brucellosis,Brucellosis,national_total,2026,1,2026-01-01,0,,
7,CJD,CJD,national_total,2026,1,2026-01-01,0,,
8,COVID-19,COVID-19,national_total,2026,1,2026-01-01,5686,,
9,Campylobacteriosis,Campylobacteriosis,national_total,2026,1,2026-01-01,3877,,
10,Chancroid,Chancroid,national_total,2026,1,2026-01-01,0,,
11,Chikungunya virus infection,Chikungunya virus infection,national_total,2026,1,2026-01-01,9,,
12,Chlamydial infection,Chlamydial infection,national_total,2026,1,2026-01-01,7806,,
13,Cholera,Cholera,national_total,2026,1,2026-01-01,0,,
14,Cryptosporidiosis,Cryptosporidiosis,national_total,2026,1,2026-01-01,293,,
15,Dengue virus infection,Dengue virus infection,national_total,2026,1,2026-01-01,215,,
16,Diphtheria,Diphtheria,national_total,2026,1,2026-01-01,0,,
17,Donovanosis,Donovanosis,national_total,2026,1,2026-01-01,0,,
18,Flavivirus infection (unspecified),Flavivirus infection (unspecified),national_total,2026,1,2026-01-01,0,,
19,Gonococcal infection,Gonococcal infection,national_total,2026,1,2026-01-01,3844,,
20,Haemolytic uraemic syndrome (HUS),Haemolytic uraemic syndrome (HUS),national_total,2026,1,2026-01-01,0,,
21,Haemophilus influenzae type b,Haemophilus influenzae type b,national_total,2026,1,2026-01-01,0,,
22,Hepatitis (NEC),Hepatitis (NEC),national_total,2026,1,2026-01-01,0,,
23,Hepatitis A,Hepatitis A,national_total,2026,1,2026-01-01,27,,
24,Hepatitis B (newly acquired),Hepatitis B (newly acquired),national_total,2026,1,2026-01-01,0,,
25,Hepatitis B (unspecified),Hepatitis B (unspecified),national_total,2026,1,2026-01-01,406,,
26,Hepatitis C (newly acquired),Hepatitis C (newly acquired),national_total,2026,1,2026-01-01,56,,
27,Hepatitis C (unspecified),Hepatitis C (unspecified),national_total,2026,1,2026-01-01,454,,
28,Hepatitis D,Hepatitis D,national_total,2026,1,2026-01-01,0,,
29,Hepatitis E,Hepatitis E,national_total,2026,1,2026-01-01,0,,
30,Hydatid infection,Hydatid infection,national_total,2026,1,2026-01-01,0,,
31,Influenza (laboratory confirmed),Influenza (laboratory confirmed),national_total,2026,1,2026-01-01,12919,,
32,Invasive Group A Streptococcal disease (iGAS),Invasive Group A Streptococcal disease (iGAS),national_total,2026,1,2026-01-01,156,,
33,Japanese encephalitis virus infection,Japanese encephalitis virus infection,national_total,2026,1,2026-01-01,0,,
34,Legionellosis,Legionellosis,national_total,2026,1,2026-01-01,45,,
35,Leprosy,Leprosy,national_total,2026,1,2026-01-01,0,,
36,Leptospirosis,Leptospirosis,national_total,2026,1,2026-01-01,10,,
37,Listeriosis,Listeriosis,national_total,2026,1,2026-01-01,5,,
38,Malaria,Malaria,national_total,2026,1,2026-01-01,28,,
39,Measles,Measles,national_total,2026,1,2026-01-01,22,,
40,Meningococcal disease (invasive),Meningococcal disease (invasive),national_total,2026,1,2026-01-01,0,,
41,Mpox,Mpox,national_total,2026,1,2026-01-01,9,,
42,Mumps,Mumps,national_total,2026,1,2026-01-01,0,,
43,Murray Valley encephalitis virus infection,Murray Valley encephalitis virus infection,national_total,2026,1,2026-01-01,0,,
44,NON TB MYCO,NON TB MYCO,national_total,2026,1,2026-01-01,0,,
45,Ornithosis,Ornithosis,national_total,2026,1,2026-01-01,0,,
46,Paratyphoid,Paratyphoid,national_total,2026,1,2026-01-01,7,,
47,Pertussis,Pertussis,national_total,2026,1,2026-01-01,1014,,
48,Pneumococcal disease (invasive),Pneumococcal disease (invasive),national_total,2026,1,2026-01-01,126,,
49,Poliovirus infection,Poliovirus infection,national_total,2026,1,2026-01-01,0,,
50,Q fever,Q fever,national_total,2026,1,2026-01-01,71,,
51,Respiratory syncytial virus (RSV),Respiratory syncytial virus (RSV),national_total,2026,1,2026-01-01,4812,,
52,Ross River virus infection,Ross River virus infection,national_total,2026,1,2026-01-01,217,,
53,Rotavirus,Rotavirus,national_total,2026,1,2026-01-01,1217,,
54,Rubella,Rubella,national_total,2026,1,2026-01-01,0,,
55,Rubella congenital,Rubella congenital,national_total,2026,1,2026-01-01,0,,
56,STEC,STEC,national_total,2026,1,2026-01-01,103,,
