,Disease,DiseaseCode,Year,Month,Date,Cases,LocalCases,ImportedCases,Source,SourceURL
1,侵襲性肺炎鏈球菌感染症,0412,2026,5,2026-05-01,31,31,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0412.csv
2,傷寒,002,2026,5,2026-05-01,1,0,1,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_002.csv
3,副傷寒,002a,2026,5,2026-05-01,1,1,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_002a.csv
4,地方性斑疹傷寒,0820,2026,5,2026-05-01,1,1,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0820.csv
5,屈公病,A920,2026,5,2026-05-01,1,0,1,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_A920.csv
6,弓形蟲感染症,130,2026,5,2026-05-01,1,1,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_130.csv
7,急性無力肢體麻痺,045a,2026,5,2026-05-01,2,2,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_045a.csv
8,急性病毒性肝炎未定型,070x,2026,5,2026-05-01,1,1,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_070x.csv
9,急性病毒性Ａ型肝炎,0701,2026,5,2026-05-01,77,76,1,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0701.csv
10,急性病毒性Ｂ型肝炎,0703,2026,5,2026-05-01,17,17,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0703.csv
11,急性病毒性Ｃ型肝炎,0705,2026,5,2026-05-01,27,26,1,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0705.csv
12,恙蟲病,0812,2026,5,2026-05-01,43,43,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0812.csv
13,新冠併發重症,19SC,2026,5,2026-05-01,6,5,1,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_19SC.csv
14,日本腦炎,0620,2026,5,2026-05-01,1,1,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0620.csv
15,李斯特菌症,027,2026,5,2026-05-01,20,20,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_027.csv
16,桿菌性痢疾,004,2026,5,2026-05-01,14,11,3,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_004.csv
17,水痘併發症,052VC,2026,5,2026-05-01,1,1,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_052VC.csv
18,流感併發重症,487a,2026,5,2026-05-01,37,37,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_487a.csv
19,流行性腦脊髓膜炎,0360,2026,5,2026-05-01,1,1,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0360.csv
20,流行性腮腺炎,072,2026,5,2026-05-01,1,1,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_072.csv
21,登革熱,061,2026,5,2026-05-01,16,1,15,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_061.csv
22,腸病毒感染併發重症,0749,2026,5,2026-05-01,1,1,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0749.csv
23,退伍軍人病,4828,2026,5,2026-05-01,77,67,10,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_4828.csv
24,鉤端螺旋體病,100,2026,5,2026-05-01,5,5,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_100.csv
25,阿米巴性痢疾,006,2026,5,2026-05-01,26,11,15,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_006.csv
26,類鼻疽,025,2026,5,2026-05-01,2,2,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_025.csv
27,麻疹,055,2026,5,2026-05-01,2,1,1,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_055.csv
28,Ｍ痘,MPXV,2026,5,2026-05-01,6,4,2,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_MPXV.csv
29,Ｑ熱,0830,2026,5,2026-05-01,1,1,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0830.csv
30,侵襲性肺炎鏈球菌感染症,0412,2026,6,2026-06-01,20,20,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0412.csv
31,地方性斑疹傷寒,0820,2026,6,2026-06-01,4,4,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0820.csv
32,屈公病,A920,2026,6,2026-06-01,1,0,1,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_A920.csv
33,急性無力肢體麻痺,045a,2026,6,2026-06-01,5,5,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_045a.csv
34,急性病毒性Ａ型肝炎,0701,2026,6,2026-06-01,58,55,3,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0701.csv
35,急性病毒性Ｂ型肝炎,0703,2026,6,2026-06-01,7,7,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0703.csv
36,急性病毒性Ｃ型肝炎,0705,2026,6,2026-06-01,35,35,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0705.csv
37,恙蟲病,0812,2026,6,2026-06-01,28,28,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0812.csv
38,新冠併發重症,19SC,2026,6,2026-06-01,38,36,2,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_19SC.csv
39,日本腦炎,0620,2026,6,2026-06-01,4,4,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0620.csv
40,李斯特菌症,027,2026,6,2026-06-01,13,13,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_027.csv
41,桿菌性痢疾,004,2026,6,2026-06-01,10,9,1,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_004.csv
42,水痘併發症,052VC,2026,6,2026-06-01,4,4,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_052VC.csv
43,流感併發重症,487a,2026,6,2026-06-01,63,63,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_487a.csv
44,瘧疾,084,2026,6,2026-06-01,1,0,1,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_084.csv
45,登革熱,061,2026,6,2026-06-01,22,8,14,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_061.csv
46,腸病毒感染併發重症,0749,2026,6,2026-06-01,1,1,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0749.csv
47,茲卡病毒感染症,ZIKAV,2026,6,2026-06-01,1,0,1,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_ZIKAV.csv
48,退伍軍人病,4828,2026,6,2026-06-01,55,46,9,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_4828.csv
49,鉤端螺旋體病,100,2026,6,2026-06-01,10,10,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_100.csv
50,阿米巴性痢疾,006,2026,6,2026-06-01,30,12,18,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_006.csv
51,霍亂,001,2026,6,2026-06-01,2,1,1,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_001.csv
52,類鼻疽,025,2026,6,2026-06-01,3,3,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_025.csv
53,Ｍ痘,MPXV,2026,6,2026-06-01,4,3,1,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_MPXV.csv
54,侵襲性肺炎鏈球菌感染症,0412,2026,7,2026-07-01,6,6,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0412.csv
55,屈公病,A920,2026,7,2026-07-01,3,0,3,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_A920.csv
56,弓形蟲感染症,130,2026,7,2026-07-01,1,1,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_130.csv
57,急性無力肢體麻痺,045a,2026,7,2026-07-01,4,4,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_045a.csv
58,急性病毒性Ａ型肝炎,0701,2026,7,2026-07-01,35,33,2,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0701.csv
59,急性病毒性Ｂ型肝炎,0703,2026,7,2026-07-01,5,5,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0703.csv
60,急性病毒性Ｃ型肝炎,0705,2026,7,2026-07-01,36,36,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0705.csv
61,急性病毒性Ｅ型肝炎,070e,2026,7,2026-07-01,2,1,1,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_070e.csv
62,恙蟲病,0812,2026,7,2026-07-01,11,11,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0812.csv
63,新冠併發重症,19SC,2026,7,2026-07-01,112,111,1,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_19SC.csv
64,日本腦炎,0620,2026,7,2026-07-01,5,5,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_0620.csv
65,李斯特菌症,027,2026,7,2026-07-01,14,13,1,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_027.csv
66,桿菌性痢疾,004,2026,7,2026-07-01,18,16,2,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_004.csv
67,水痘併發症,052VC,2026,7,2026-07-01,4,4,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_052VC.csv
68,流感併發重症,487a,2026,7,2026-07-01,162,162,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_487a.csv
69,登革熱,061,2026,7,2026-07-01,23,0,23,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_061.csv
70,退伍軍人病,4828,2026,7,2026-07-01,36,33,3,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_4828.csv
71,鉤端螺旋體病,100,2026,7,2026-07-01,1,1,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_100.csv
72,阿米巴性痢疾,006,2026,7,2026-07-01,24,11,13,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_006.csv
73,類鼻疽,025,2026,7,2026-07-01,1,1,0,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_025.csv
74,Ｍ痘,MPXV,2026,7,2026-07-01,6,2,4,"Taiwan, China CDC NIDSS Open Data",https://od.cdc.gov.tw/eic/Age_County_Gender_MPXV.csv
