disease_id,local_name,local_code,category,aliases,notes,data_source,source_id,series_id,mapping_scope,target_kind,target_code,mapping_relation,comparability,projection_policy,aggregation_policy,definition_version
D165,Amöbenruhr (Amöbiasis),am-benruhr-am-biasis,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D165,exact,conditional,canonical,direct_only,*
D091,Botulismus,botulismus,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D091,exact,conditional,canonical,direct_only,*
D032,Brucellose,brucellose,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D032,exact,conditional,canonical,direct_only,*
D092,Campylobakteriose,campylobakteriose,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D092,exact,conditional,canonical,direct_only,*
D052,Chikungunya-Fieber,chikungunya-fieber,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D052,exact,conditional,canonical,direct_only,*
D002,Cholera,cholera,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D002,exact,conditional,canonical,direct_only,*
,"Clostridioides difficile Infektion, schwerer Verlauf",clostridioides-difficile-infektion-schwerer-verlauf,National monthly,,Severe-course definition has no reviewed canonical concept,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,group,G_UNMAPPED_SOURCE_CATEGORIES,unmapped,not_comparable,no_projection,non_additive,*
D021,Dengue-Fieber,dengue-fieber,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D021,exact,conditional,canonical,direct_only,*
D029,Diphtherie,diphtherie,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D029,exact,conditional,canonical,direct_only,*
D050,Ebola-Fieber,ebola-fieber,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D050,exact,conditional,canonical,direct_only,*
D045,Echinokokkose durch Fuchsbandwurm,echinokokkose-durch-fuchsbandwurm,National monthly,,Alveolar echinococcosis is narrower than the canonical concept,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D045,narrower,conditional,canonical,sum_disjoint,*
D045,Echinokokkose durch Hundebandwurm,echinokokkose-durch-hundebandwurm,National monthly,,Cystic echinococcosis is narrower than the canonical concept,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D045,narrower,conditional,canonical,sum_disjoint,*
D183,Fleckfieber (Rickettsiose durch R. prowazekii),fleckfieber-rickettsiose-durch-r-prowazekii,National monthly,,Epidemic typhus distinct from Typhus abdominalis,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D183,exact,conditional,canonical,direct_only,*
D205,Frühsommer-Meningoenzephalitis (FSME),fr-hsommer-meningoenzephalitis-fsme,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D205,exact,conditional,canonical,direct_only,*
D059,Gelbfieber,gelbfieber,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D059,exact,conditional,canonical,direct_only,*
D100,"Haemophilus influenzae, invasiv",haemophilus-influenzae-invasiv,National monthly,,Invasive subset of the canonical organism-level concept,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D100,narrower,conditional,canonical,direct_only,*
D102,Hantavirus-Erkrankung,hantavirus-erkrankung,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D102,exact,conditional,canonical,direct_only,*
D007,Hepatitis A,hepatitis-a,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D007,exact,conditional,canonical,direct_only,*
D008,Hepatitis B,hepatitis-b,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D008,exact,conditional,canonical,direct_only,*
D009,Hepatitis C,hepatitis-c,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D009,exact,conditional,canonical,direct_only,*
D010,Hepatitis D,hepatitis-d,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D010,exact,conditional,canonical,direct_only,*
D011,Hepatitis E,hepatitis-e,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D011,exact,conditional,canonical,direct_only,*
D028,Keuchhusten (Pertussis),keuchhusten-pertussis,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D028,exact,conditional,canonical,direct_only,*
D013,Kinderlähmung (Poliomyelitis),kinderl-hmung-poliomyelitis,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D013,exact,conditional,canonical,direct_only,*
D053,Lassa-Fieber,lassa-fieber,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D053,exact,conditional,canonical,direct_only,*
D107,Legionärskrankheit (Legionellose),legion-rskrankheit-legionellose,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D107,exact,conditional,canonical,direct_only,*
D042,Lepra,lepra,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D042,exact,conditional,canonical,direct_only,*
D035,Leptospirose,leptospirose,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D035,exact,conditional,canonical,direct_only,*
D108,Listeriose,listeriose,National monthly,,Reviewed official source category,Austria AGES Radar for Infectious Diseases,SRC_AT_AGES_RADAR,,source_category_dimension,concept,D108,exact,conditional,canonical,direct_only,*
